## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Na23_ppm_mean,K39_ppm_mean,Ca43_ppm_mean
GM00_example,0.009937104,0.001534061,0.701699232,0.011763774,0.223869542,-0.6828674,55033.91905,3870.365798,44870.58288
GM00_example,0.059686551,0.019029456,0.707788221,0.012772583,0.219944556,-0.42839666,73169.73949,665.1420464,528.1447807
GM00_example,0.032911389,0.005225416,0.705172383,0.013885252,-0.058509834,-0.794995206,58684.36038,3113.953624,37940.65146
GM00_example,2.70641569,0.344719507,0.703464945,0.015345945,0.265946754,-0.846979404,67363.95551,6639.968462,1262.143506
GM00_example,0.026104186,0.002388301,0.709826187,0.014680441,-0.000531942,-0.904635766,55329.85014,3881.8091,44520.01893
GM00_example,0.04080531,0.00191372,0.708654181,0.013256031,0.342843037,-0.899104321,54709.23901,5496.598274,43159.48104
GM00_example,1.21772411,0.025495057,0.699647811,0.013550272,0.175320109,-0.721908429,63918.67522,12361.54003,1711.076284
GM00_example,0.155303488,0.016678194,0.701154902,0.013529437,-0.111432522,-0.887346483,52045.36851,8254.777734,42093.45617
GM00_example,0.081917058,0.009972854,0.704645317,0.014322962,-0.070926925,-0.878075567,56086.7956,8312.693457,36294.02472
GM00_example,0.292789187,0.012729119,0.697659793,0.013443141,0.159964016,-0.879338302,67282.77035,7638.467403,3856.485206
GM00_example,0.343767515,0.007210053,0.706059635,0.015060288,0.261049605,-0.685866325,68548.76859,4900.729456,1884.475606
GM00_example,0.031192268,0.003273916,0.706449435,0.014661237,0.105725928,-0.761375476,51311.84412,4628.020843,54415.73004
GM00_example,0.053917647,0.002691877,0.712956935,0.011843072,0.022401453,-0.909057215,53945.46194,6151.604114,42971.61547
GM00_example,1.529805587,0.035501794,0.709691174,0.017328942,0.175807466,-0.699337158,65312.97415,9623.460383,2049.300073
GM00_example,0.068863048,0.002468362,0.711153882,0.014915894,0.082209014,-0.838276399,48084.08434,7531.595807,50147.17816
GM00_example,0.442860274,0.020585759,0.708640184,0.016156772,-0.008810944,-0.914637061,68241.32189,5090.631747,1683.677143
GM00_example,0.158969875,0.019355834,0.718374181,0.013428882,0.025525646,-0.841037588,25979.0087,7298.713463,121492.6511
