spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean,StdCorr_Rb87_Sr86s_mean_calibr,ext_sys_errs_2rs_partial_sum_sq,session,grain_name,sample_name,replicate,group,age,age_2s_int,err2s_ext
GM11_NBP2002-27BC_#20047,76.29794901,3.550200535,1.109204986,0.034954192,0.617716897,-0.764213308,NA,22691.14934,91017.97363,303833.8632,104028.7782,1248.535374,950.7415763,814.7587352,31.09558962,48.42286446,30.72299802,44.39483835,0,0,66.60009036580655,0.003582100831773902,2,GM11_NBP2002-27BC_#00047,NBP2002-27BC,0,X,375.7324718381372,25.793117262282166,34.21969594269256
GM11_NBP2002-27BC_#20054,6.931355272,0.145460634,0.777376998,0.018417487,0.349685275,-0.595287198,NA,2416.376612,89956.95191,303833.8632,140053.6453,345.1279236,254.3602437,299.7965064,131.1498248,145.0659848,131.6260718,16.46066265,0,0,6.050344648349672,0.003582100831773902,2,GM11_NBP2002-27BC_#00054,NBP2002-27BC,0,X,716.8201519589423,183.58218247493565,188.52854595879197
GM11_NBP2002-27BC_#20055,5.061945699,0.10710587,0.755174552,0.018560305,0.316345986,-0.501020026,NA,9907.903924,94317.39437,303833.8632,128396.6639,634.3263564,442.0259919,354.8458587,208.4846116,223.1821057,210.3067589,89.85248165,0,0,4.418546571101411,0.003582100831773902,2,GM11_NBP2002-27BC_#00055,NBP2002-27BC,0,X,669.413768450733,255.87414701523517,258.9918367148118
GM11_NBP2002-27BC_#20056,109.3948425,4.704352453,0.953289874,0.032451547,0.677705065,-0.600478979,NA,12482.95345,87104.63331,303833.8632,111684.7623,750.5967229,247.2604691,936.5477467,25.30199179,34.6316355,25.73713762,147.7798937,0,0.196159851,95.49019980993556,0.003582100831773902,2,GM11_NBP2002-27BC_#00056,NBP2002-27BC,0,C,160.5575682618559,17.271260103610505,19.76457552053736
GM13_NBP0001-07PC_#20038,0.97651267,0.019604046,0.710306892,0.017369956,0.339605833,-0.504753512,NA,11335.34663,97078.9184,303833.8632,119787.1315,0,1136.944804,186.7139123,570.7510099,572.8738501,585.5659649,88.142845929999993,0,0,0.8523929267984792,0.003582100831773902,2,GM13_NBP0001-07PC_#00038,NBP0001-07PC,0,X,197.55032256871274,1268.2505838624097,1268.3056961946859
GM13_NBP0001-07PC_#20039,0.68391071,0.016994905,0.702443136,0.015452765,0.236857143,-0.708652872,NA,13562.5407,100812.42,303833.8632,113248.4659,1287.836684,1040.549906,177.997752,768.6499876,762.5836457,774.7257394,37.02991266,0,0,0.5969821689724988,0.003582100831773902,2,GM13_NBP0001-07PC_#00039,NBP0001-07PC,0,D,-542.539280222479,1632.7056819990414,-1633.0285457903383
GM13_NBP0001-07PC_#20041,15.26499138,0.455987201,0.714365783,0.019998965,0.450365236,-0.591563668,NA,2182.833954,91767.38531,303833.8632,134789.5576,680.5984463,122.3686273,494.2504359,97.25458306,100.4936854,98.05381945,3.159842123,5.91746859,0,13.324733083034914,0.003582100831773902,2,GM13_NBP0001-07PC_#00041,NBP0001-07PC,0,X,31.67847366298759,93.3037615297998,93.32302312844115
GM13_NBP0001-07PC_#20043,2.019438011,0.046467034,0.70856701,0.016467967,0.215389205,-0.630162927,NA,13074.97457,97633.87814,303833.8632,114936.3751,0,390.1750674,228.6406268,333.5836034,340.507433,338.5877006,69.43915722,0,0,1.7627571352293765,0.003582100831773902,2,GM13_NBP0001-07PC_#00043,NBP0001-07PC,0,D,33.986799206574425,583.202853754027,583.2064011313146
GM13_NBP0001-07PC_#20044,1.412669057,0.037907927,0.700507178,0.015213205,0.281269478,-0.715051768,NA,30588.60357,103908.2303,303833.8632,83995.45164,1500.747987,1809.624436,414.565026,881.4455351,875.1985814,871.3757411,3.090872285,0,0,1.2331116114385672,0.003582100831773902,2,GM13_NBP0001-07PC_#00044,NBP0001-07PC,0,D,-360.6555844031597,777.4429830095888,-777.7425823909824
GM13_NBP0001-07PC_#20045,1.956468326,0.057296356,0.711533264,0.016652058,0.224987318,-0.754815209,NA,22683.8704,98736.70729,303833.8632,105055.1679,1601.71818,1657.648216,291.8170422,441.8618196,445.1123198,444.7763232,49.93390834,0,0,1.7077912185078574,0.003582100831773902,2,GM13_NBP0001-07PC_#00045,NBP0001-07PC,0,D,143.45693349390444,607.0169276765223,607.0776472027796
GM13_NBP0001-07PC_#20048,1.2879153,0.024143331,0.714563557,0.015669231,0.344018429,-0.56642579,NA,30538.85373,100825.5388,303833.8632,85994.20683,1628.27887,1581.972635,433.6050271,1008.633861,1006.395401,1014.915319,1.795947225,0,0,1.1242146935334096,0.003582100831773902,2,GM13_NBP0001-07PC_#00048,NBP0001-07PC,0,X,385.50218583543636,863.6362341216163,863.9443777378028
GM13_NBP0001-08KC_#20006,1.718056942,0.065636863,0.705432974,0.016435003,0.187898216,-0.811765092,NA,18612.08701,94479.52398,303833.8632,111526.8905,190.8598358,746.6854856,242.486406,435.685661,436.4879998,433.4512085,114.754545,0,0,1.4996831379543956,0.003582100831773902,2,GM13_NBP0001-08KC_#00006,NBP0001-08KC,0,D,-90.65846395938252,686.1853908734857,-686.2068432923252
GM13_NBP0001-08KC_#20008,1.177877373,0.043046403,0.706095022,0.016552087,-0.006079216,-0.643356228,NA,61747.62769,98308.16137,303833.8632,34642.87175,915.2357408,1480.662023,110.7820222,276.5863745,277.3961013,271.923099,4.420378616,0,0,1.0281631485448868,0.003582100831773902,2,GM13_NBP0001-08KC_#00008,NBP0001-08KC,0,D,-91.98196707393664,1007.0379830948935,-1007.0530305861834
GM13_NBP0001-08KC_#20009,2.424134681,0.050864822,0.700948798,0.016792023,0.385281431,-0.528424357,NA,8060.079688,96313.18233,303833.8632,126652.5168,465.9528035,247.7184314,370.0367672,467.1185586,460.7583758,465.0361759,47.89758533,0,0,2.116014793429447,0.003582100831773902,2,GM13_NBP0001-08KC_#00009,NBP0001-08KC,0,D,-196.87592837720996,498.75254177311905,-498.89171232168843
GM13_NBP0001-08KC_#20010,2.208667644,0.048648568,0.705964756,0.015007724,0.392678147,-0.588890016,NA,6996.876489,98920.05558,303833.8632,129600.6475,146.2468168,157.1324544,353.8908995,479.4177208,482.5233067,480.8997189,75.53598862,0,0,1.9279347162943228,0.003582100831773902,2,GM13_NBP0001-08KC_#00010,NBP0001-08KC,0,D,-53.26333817998361,487.1483159528378,-487.15874629892977
GM13_NBP0001-08KC_#20013,1.63071359,0.037571117,0.702684455,0.016213045,0.23422567,-0.623079665,NA,13765.59111,94526.00835,303833.8632,118191.2217,294.5643905,417.359309,246.7137337,452.42996,453.1430525,451.0539114,54.84431166,0,0,1.4234415716799202,0.003582100831773902,2,GM13_NBP0001-08KC_#00013,NBP0001-08KC,0,D,-216.4126347694841,714.9285302240345,-715.0458509589021
GM13_NBP0001-08KC_#20016,1.490009305,0.043920954,0.707441798,0.01603774,0.148177539,-0.788855938,NA,30389.36192,102192.921,303833.8632,89492.46199,1016.326212,1818.907543,219.1466685,449.9589298,448.0610151,450.9479606,49.81135588,0,0,1.3006215192742128,0.003582100831773902,2,GM13_NBP0001-08KC_#00016,NBP0001-08KC,0,D,-7.975441322279093,770.4840672509823,-770.4842151119537
GM13_NBP0001-08KC_#20017,88.37527106,4.891142993,0.793541213,0.048897117,0.742608097,-0.190172228,NA,29275.14547,92721.53433,303833.8632,93985.85043,106.8755982,462.8468835,436.05219,14.87248076,16.6093557,14.34178632,54.59949582,1.150724006,0,77.14232315638294,0.003582100831773902,2,GM13_NBP0001-08KC_#00017,NBP0001-08KC,0,D,69.56031470994313,36.794253159421885,37.02903661388315
GM13_NBP0001-08KC_#20021,3.010024873,0.076834064999999993,0.707634887,0.015331212,0.223081319,-0.742165601,NA,9416.700236,106013.9259,303833.8632,118705.9034,11022.63256,11311.22811,450.6227426,448.7201045,449.100249,450.0212118,8.007408105,0,0,2.6274353524083724,0.003582100831773902,2,GM13_NBP0001-08KC_#00021,NBP0001-08KC,0,D,0.6434772216117247,364.5352734617312,364.53527549612306
GM13_NBP0001-08KC_#20024,2.689183797,0.05917119,0.704663632,0.016346071,0.256466149,-0.57507543,NA,22990.86375,99873.03189,303833.8632,103392.3504,1586.488948,1090.327283,388.2553479,431.4781765,433.4456279,439.6069925,65.45657827,0,0,2.3473748143215363,0.003582100831773902,2,GM13_NBP0001-08KC_#00024,NBP0001-08KC,0,D,-78.40161781663987,435.9678230392764,-435.9930747523272
GM13_NBP0001-08KC_#20027,15.66779398,0.737276461,0.787583053,0.045735596,0.601821728,-0.323968288,NA,37968.78403,95186.5266,303833.8632,81325.27878,1902.497353,1221.74401,255.2411642,48.54073202,53.14308439,53.16020073,7.835917276,0,0,13.676337417196844,0.003582100831773902,2,GM13_NBP0001-08KC_#00027,NBP0001-08KC,0,D,364.4038823925656,198.04080991560755,199.2381244649204
GM13_NBP0001-08KC_#20032,1.959024066,0.053638933,0.704313141,0.013896972,0.36162121,-0.761814302,NA,28715.69895,94460.43099,303833.8632,87113.55813,2179.10242,1434.199865,449.6187258,681.0230014,688.7709439,688.1883012,44.12915729,0,0,1.7100221109127003,0.003582100831773902,2,GM13_NBP0001-08KC_#00032,NBP0001-08KC,0,D,-120.47053546848106,509.7755841627356,-509.82657225260857
GM13_NBP0001-08KC_#20034,1.303404844,0.029544153,0.709472397,0.018553768000000002,0.301032284,-0.552082429,NA,10481.82328,91833.91364,303833.8632,117668.3228,1309.814519,871.6105748,252.0748732,569.1103699,569.5139245,569.6784916,83.50137572,0,0,1.1377354374526192,0.003582100831773902,2,GM13_NBP0001-08KC_#00034,NBP0001-08KC,0,D,102.31300831847624,1016.6617827206121,1016.6802239165672
GM13_NBP0001-08KC_#20036,1.841711157,0.045647069,0.70852325,0.015444316,0.2568403,-0.72189173,NA,11748.48769,98882.42614,303833.8632,120597.5625,1451.544641,1170.549736,253.6313594,409.6529238,415.9262817,409.0366615,103.1227456,0,0,1.6076202712583785,0.003582100831773902,2,GM13_NBP0001-08KC_#00036,NBP0001-08KC,0,D,35.565987952883965,599.6658393061023,599.6696173490232
