## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.46717,0.000968812,1.202,0.000644513
GM00_example,2.46388,0.00129932,1.19979,0.000729012
GM00_example,2.46542,0.000414869,1.1975,0.000238505
GM00_example,2.44031,0.000668028,1.19356,0.00033574
GM00_example,2.46681,0.000303585,1.20012,0.00021405
GM00_example,2.465,0.000269707,1.1991,0.0001358
GM00_example,2.45608,0.000213127,1.187,0.000148263
GM00_example,2.45752,0.000407548,1.18935,0.000211274
GM00_example,2.47233,0.00143688,1.20411,0.000676134
GM00_example,2.46463,0.000424752,1.19914,0.000259241
GM00_example,2.46094,0.000369073,1.19854,0.000274611
GM00_example,2.45472,0.000296769,1.1908,0.000155529
GM00_example,2.45714,0.000381036,1.18968,0.000234275
GM00_example,2.45264,0.000375804,1.18687,0.000236347
GM00_example,2.46783,0.00056295,1.20002,0.000404261
GM00_example,2.45746,0.00026868,1.18868,0.000174739
GM00_example,2.4624,0.00269348,1.19015,0.0018271
GM00_example,2.46482,0.000919311,1.19478,0.000666248
GM00_example,2.45497,0.000321871,1.18346,0.000189435
GM00_example,2.44562,0.000349443,1.19913,0.000269551
GM00_example,2.46441,0.000780347,1.19405,0.000755703
GM00_example,2.45733,0.000512296,1.19018,0.000311127
GM00_example,2.46275,0.0013025,1.19793,0.00186523
GM00_example,2.44287,0.00095518,1.20211,0.00262646
GM00_example,2.45914,0.000633986,1.19196,0.000305292
