## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.46905,0.000845335,1.20371,0.000567679
GM00_example,2.46515,0.000687904,1.20474,0.000887907
GM00_example,2.47906,0.00122609,1.20724,0.000686587
GM00_example,2.46674,0.000940318,1.20025,0.000633532
GM00_example,2.46584,0.000882996,1.19988,0.000616451
GM00_example,2.46821,0.00156239,1.2062,0.00145115
GM00_example,2.47129,0.00106,1.20448,0.000492396
GM00_example,2.46712,0.000489033,1.20375,0.000394367
GM00_example,2.42864,0.00109887,1.17231,0.00109587
GM00_example,2.4483,0.000629904,1.17857,0.00037478
GM00_example,2.42506,0.000663909,1.16939,0.000450551
GM00_example,2.43389,0.000418385,1.16116,0.000239525
GM00_example,2.47975,0.000286549,1.19062,0.000189122
GM00_example,2.4611,0.000494905,1.2001,0.000229981
GM00_example,2.4291,0.000185322,1.15283,0.000137771
GM00_example,2.46807,0.00106107,1.21051,0.000763113
GM00_example,2.43228,0.000936371,1.17097,0.000634828
GM00_example,2.48055,0.000325683,1.19247,0.000241955
GM00_example,2.45476,0.000433679,1.19566,0.00030945
GM00_example,2.46411,0.000710538,1.20005,0.000652664
GM00_example,2.46231,0.00161775,1.19921,0.00111517
GM00_example,2.44396,0.00016957,1.15907,0.00012974
GM00_example,2.42881,0.000428937,1.16582,0.000230997
GM00_example,2.45125,0.00167232,1.18405,0.00115432
GM00_example,2.42669,0.00054522,1.1756,0.000398753
GM00_example,2.48394,0.000635838,1.20968,0.000321978
GM00_example,2.45855,0.000378475,1.19768,0.000257671
GM00_example,2.45813,0.000983863,1.19313,0.000781604
GM00_example,2.47023,0.000477291,1.1923,0.00027645
GM00_example,2.45901,0.000227725,1.19541,0.000149368
GM00_example,2.43411,0.00027857,1.16098,0.000191831
GM00_example,2.43405,0.000579629,1.16175,0.000227341
GM00_example,2.45656,0.000299614,1.18683,0.000181214
GM00_example,2.47023,0.000199045,1.17201,0.000135185
GM00_example,2.47301,0.00244601,1.20989,0.00177787
GM00_example,2.46753,0.00133357,1.20778,0.00121514
GM00_example,2.44958,0.000646928,1.18723,0.000365109
GM00_example,2.43118,0.00539186,1.16044,0.00172451
GM00_example,2.45422,0.000433678,1.1943,0.000260087
GM00_example,2.46589,0.000592789,1.20153,0.000455773
GM00_example,2.4578,0.000492699,1.19612,0.000238194
GM00_example,2.46469,0.000394128,1.20274,0.000281442
GM00_example,2.43656,0.000160081,1.16366,9.04E-05
GM00_example,2.47248,0.000759476,1.22249,0.00164689
GM00_example,2.44506,0.000214254,1.1664,0.000115921
GM00_example,2.44546,0.000363332,1.16608,0.000202491
GM00_example,2.44668,0.000247501,1.16664,0.000104963
GM00_example,2.47292,0.00259569,1.19606,0.00288838
GM00_example,2.44598,0.000271252,1.16674,0.000134289
GM00_example,2.4476,0.00025381,1.19218,0.00222012
GM00_example,2.49119,0.00228231,1.2183,0.000306155
GM00_example,2.44424,0.000812463,1.16637,0.000139047
GM00_example,2.46388,0.00124931,1.20692,0.00205261
GM00_example,2.44781,0.000436341,1.21453,0.00147995
GM00_example,2.44723,0.000921675,1.28789,0.00267972
GM00_example,2.45865,0.000584404,1.18974,0.000806586
GM00_example,2.44735,0.000410233,1.16971,0.000341705
GM00_example,2.46885,0.000157686,1.20068,0.000212344
GM00_example,2.46942,0.000201769,1.19997,0.000122863
GM00_example,2.44758,0.000238524,1.17082,0.000252329
GM00_example,2.44832,0.000434229,1.16732,0.000156607
GM00_example,2.46343,0.00447729,1.19824,0.00372341
GM00_example,2.45967,0.000265163,1.19073,0.000147502
GM00_example,2.46842,0.000233511,1.19397,0.000133288
GM00_example,2.4575,0.000322499,1.19085,0.00019427
GM00_example,2.46081,0.000290917,1.19223,0.000154051
GM00_example,2.46934,0.000387794,1.19748,0.000326055
GM00_example,2.45877,0.000282754,1.19082,0.000186402
GM00_example,2.46335,0.0017911,1.19577,0.00143491
GM00_example,2.46058,0.00310051,1.1925,0.00106294
GM00_example,2.45576,0.000421421,1.19062,0.000271403
GM00_example,2.44039,0.000403446,1.19252,0.000216894
GM00_example,2.46558,0.000725403,1.19792,0.000471197
GM00_example,2.45306,0.000325527,1.18654,0.000181808
GM00_example,2.45425,0.000528836,1.18782,0.000268457
GM00_example,2.45368,0.000268807,1.19317,0.00015572
