## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho
GM00_example,1.46146536,0.043551733,0.711375582,0.017456793,0.081006705,-0.773360311
GM00_example,88.76536155,5.305472742,0.799193584,0.05559987,0.75871539,-0.113308007
GM00_example,2.978888659,0.074790059,0.7119489,0.017459747,0.29214389,-0.681700429
GM00_example,2.671094977,0.059346217,0.706401599,0.017786413,0.278663792,-0.537407418
GM00_example,15.80825584,0.764323299,0.799871705,0.048936734,0.607203783,-0.311487473
GM00_example,1.940556549,0.05540984,0.70760076,0.015367602,0.43053106,-0.723215973
GM00_example,1.29967208,0.030354945,0.714005075,0.019169519,0.345765966,-0.538162123
GM00_example,1.822330189,0.046281809,0.712851524,0.01663542,0.27944564,-0.724003117
GM00_example,21.44976747,0.660471062,0.735556447,0.020893945,0.470224688,-0.566646281
GM00_example,8.874135295,0.273318932,0.717466157,0.017407749,0.369454568,-0.703359383
GM00_example,66.42301671,2.186359435,0.819991758,0.026759872,0.552657748,-0.510157607
GM00_example,3.642521575,0.097864173,0.715147339,0.021396906,0.444467697,-0.5268773
GM00_example,1.82627767,0.051641915,0.720703679,0.015331003,0.253366092,-0.717030625
GM00_example,7.110177262,0.184372445,0.713590913,0.018308739,0.239508195,-0.603158181
GM00_example,3.937673251,0.091950699,0.713409213,0.01582996,0.299580718,-0.623963875
GM00_example,6.694661269,0.160655347,0.706747948,0.021304016,0.495124793,-0.406417594
GM00_example,18.64032004,0.700711442,0.722697444,0.020915289,0.294279172,-0.747029383
GM00_example,12.84561667,0.355786931,0.728500398,0.02488813,0.472611754,-0.413763199
GM00_example,17.26292457,0.432706401,0.73603441,0.014988888,0.327878457,-0.679481509
GM00_example,2.494149322,0.056658456,0.716080071,0.018135109,0.186841001,-0.622004412
GM00_example,4.108043872,0.103767454,0.722321049,0.020172447,0.170097335,-0.663938324
GM00_example,14.81707109,0.558311292,0.739202166,0.018999217,0.226930655,-0.772818476
GM00_example,5.108386789,0.095124021,0.730819195,0.017116519,0.143954928,-0.605874408
GM00_example,9.179400499,0.271187946,0.720969849,0.017523895,0.427552969,-0.608142612
GM00_example,4.382284028,0.075080871,0.724175709,0.01541635,0.254364065,-0.587178587
GM00_example,4.841505402,0.134477836,0.708429225,0.014953739,0.34278835,-0.696410047
GM00_example,3.824100391,0.098346071,0.721077772,0.016139231,0.35214544,-0.61111069
GM00_example,1.449632269,0.03386801,0.716260573,0.018298319,0.508787401,-0.392065205
GM00_example,1.511213475,0.0409205,0.705085789,0.019059205,0.241774948,-0.638300988
GM00_example,1.911430868,0.044336369,0.720853587,0.019682344,0.417828686,-0.434401642
GM00_example,3.567618239,0.096837919,0.715584096,0.015871339,0.526994992,-0.847730911
GM00_example,5.308733057,0.112134221,0.715548038,0.016262522,0.217005616,-0.594490515
GM00_example,67.14817644,1.868977147,0.833606396,0.025518641,0.424307906,-0.442732442
GM00_example,4.540693283,0.096675247,0.720853043,0.015261317,0.419431052,-0.655359957
GM00_example,0.986830177,0.02078201,0.708088606,0.017339962,0.316129973,-0.57557092
GM00_example,42.28437537,1.21524237,0.744062739,0.02400024,0.529246683,-0.432089003
GM00_example,19.56367234,0.582905072,0.743760655,0.021257899,0.425959613,-0.579531933
GM00_example,15.8230071,0.548271867,0.721427678,0.021725072,0.486512222,-0.648612234
GM00_example,4.829117921,0.117545445,0.712380803,0.020339915,0.274003958,-0.550483228
GM00_example,4.44746251,0.14556528,0.735843394,0.01884967,0.450178467,-0.674373401
GM00_example,6.123976612,0.16739946,0.716432667,0.019306218,0.429284106,-0.531118745
GM00_example,6.63038404,0.111132124,0.712480497,0.016349999,0.33745747,-0.489683088
GM00_example,2.380112311,0.060217234,0.707285596,0.014266344,0.205023296,-0.772086297
GM00_example,37.14853014,1.108577526,0.757866028,0.027678864,0.540056998,-0.232645602
GM00_example,5.203867207,0.100164139,0.712810669,0.014968462,0.36600191,-0.476873506
GM00_example,20.43454765,0.571614334,0.748700486,0.019142004,0.479052505,-0.540548078
GM00_example,0.52077532,0.011398409,0.705703999,0.017356752,0.425687049,-0.503645182
GM00_example,4.783019312,0.12315711,0.718049398,0.017163342,0.418348863,-0.606915884
GM00_example,2.474783183,0.053994657,0.725638949,0.018600574,0.365322565,-0.51593331
GM00_example,22.05066971,0.586668143,0.756508142,0.021236259,0.338348888,-0.588653754
GM00_example,14.36087474,0.373987325,0.733388343,0.022849301,0.521063223,-0.351010128
GM00_example,5.495958443,0.117899281,0.728316628,0.019109867,0.311528207,-0.553601127
GM00_example,2.057352455,0.043500899,0.71016479,0.018405442,0.117764348,-0.633058404
GM00_example,20.76415599,0.646920031,0.760655953,0.020680502,0.437122588,-0.569187438
GM00_example,1.209074782,0.028677828,0.715465135,0.015024188,0.324260923,-0.657675702
GM00_example,10.02605936,0.222656522,0.721840792,0.015678586,0.47263366,-0.501097777
GM00_example,2.725266412,0.104123659,0.712975954,0.016603226,0.381795007,-0.834213175
GM00_example,30.70953195,1.080124274,0.770680278,0.025447784,0.376124056,-0.605320831
GM00_example,17.70907984,0.563887459,0.735676765,0.022866717,0.368585377,-0.572059654
GM00_example,1.748794676,0.050910288,0.707001878,0.017247428,0.226464256,-0.692843526
GM00_example,2.163916102,0.043275735,0.715385228,0.01647107,0.235977158,-0.588241961
GM00_example,0.96640352,0.021170047,0.719137535,0.020646895,0.242087635,-0.501293191
GM00_example,16.84120679,0.410100943,0.73350963,0.021228477,0.493999184,-0.482723774
GM00_example,3.649933743,0.085590295,0.719380572,0.013904391,0.135316638,-0.74698031
GM00_example,11.33464574,0.399876673,0.733537218,0.018860704,0.215856231,-0.777459593
GM00_example,46.89356873,1.374243275,0.798888308,0.023351593,0.425202902,-0.56159421
GM00_example,9.036225189,0.25102686,0.738049299,0.022708314,0.312715232,-0.593346003
GM00_example,15.06126935,0.448694777,0.738911246,0.021032912,0.333064665,-0.566967807
GM00_example,20.90117196,0.550803569,0.749807862,0.020063749,0.245772007,-0.604238975
GM00_example,10.2787042,0.282470706,0.737157928,0.019286939,0.19950468,-0.628285262
GM00_example,1.122780554,0.02508853,0.709963701,0.018483205,0.272451999,-0.579119304
GM00_example,15.44923018,0.370282228,0.744859168,0.016577498,0.401930578,-0.613112587
GM00_example,0.776391936,0.017597995,0.710283418,0.013636074,0.28876896,-0.726843371
GM00_example,3.773717402,0.083382426,0.70572197,0.018337664,0.431654362,-0.460821086
GM00_example,2.941350156,0.067189327,0.718503239,0.011674086,0.1844215,-0.788666356
GM00_example,0.947865401,0.020065466,0.714124448,0.013810788,0.187472879,-0.72072954
GM00_example,3.344126651,0.062010932,0.695584359,0.012802917,0.254019385,-0.539670364
GM00_example,126.7746588,3.743442559,0.994711605,0.028161843,0.46713185,-0.550966508
GM00_example,42.57106475,1.463589214,0.793105352,0.023663953,0.473403072,-0.488119937
GM00_example,20.85155643,0.527127194,0.743485959,0.021291974,0.766342829,-0.362641766
GM00_example,41.37548798,1.492593694,0.804618127,0.026076711,0.441169258,-0.591222968
GM00_example,2.831531005,0.047870865,0.710621677,0.014685589,0.304586597,-0.562419385
GM00_example,7.052980502,0.167182167,0.73036061,0.02155699,0.321872448,-0.107273286
GM00_example,0.994636866,0.01635282,0.710072616,0.013959318,0.285053294,-0.55857366
GM00_example,6.498582867,0.147452361,0.71769952,0.015807185,0.166837755,-0.626712068
GM00_example,18.70504733,0.483673434,0.751187151,0.022162798,0.643389491,-0.21176214
GM00_example,5.934665655,0.199798544,0.741853009,0.017398578,-0.012553676,-0.711300747
GM00_example,13.67306342,0.56211543,0.746383377,0.018221199,0.168249921,-0.788298593
GM00_example,0.738658355,0.015294245,0.710616199,0.015200315,0.350992098,-0.593849499
GM00_example,22.57521044,0.734438798,0.748967516,0.023610867,0.546630486,-0.595836347
GM00_example,2.754226472,0.061733762,0.717993117,0.012443418,0.269141801,-0.710205132
